text,where,bg,cs,da,de,el,es,fi,fr,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,pt-BR,ro,ru,sk,sr,sv,th,tr,uk,vi,zh
Email,docs/_includes/signin-dialog.html,Имейл,E-mail,E-mail,E-Mail,Email,Correo electrónico,Sähköposti,E-mail,ईमेल,E-pošta,E-mail,Email,E-mail,メールアドレス,이메일,E-mel,E-post,E-mail,E-mail,E-mail,E-mail,E-mail,Эл. почта,E-mail,Е-пошта,E-post,อีเมล,E-posta,Ел. пошта,Email,电子邮件
Password,docs/_includes/signin-dialog.html,Парола,Heslo,Adgangskode,Passwort,Κωδικός πρόσβασης,Contraseña,Salasana,Mot de passe,पासवर्ड,Lozinka,Jelszó,Kata Sandi,Password,パスワード,비밀번호,Kata laluan,Passord,Wachtwoord,Hasło,Palavra-passe,Senha,Parolă,Пароль,Heslo,Лозинка,Lösenord,รหัสผ่าน,Şifre,Пароль,Mật khẩu,密码
Forgot?,docs/_includes/signin-dialog.html,Забравена?,Zapomněli jste?,Glemt?,Vergessen?,Ξεχάσατε τον κωδικό;,¿La has olvidado?,Unohtuiko?,Oublié ?,भूल गए?,Zaboravili ste?,Elfelejtetted?,Lupa?,Dimenticata?,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,Terlupa?,Glemt?,Wachtwoord vergeten?,Nie pamiętasz?,Esqueceu-se?,Esqueceu?,Ai uitat-o?,Забыли?,Zabudli ste?,Заборавили сте?,Glömt?,ลืมรหัสผ่าน?,Unuttunuz mu?,Забули?,Quên mật khẩu?,忘记密码？
Open my vocabulary →,docs/_includes/signin-dialog.html,Отвори речника ми →,Otevřít moji slovní zásobu →,Åbn mit ordforråd →,Mein Vokabular öffnen →,Άνοιγμα του λεξιλογίου μου →,Abrir mi vocabulario →,Avaa sanastoni →,Ouvrir mon vocabulaire →,मेरी शब्दावली खोलें →,Otvori moj vokabular →,Szókincsem megnyitása →,Buka kosakata saya →,Apri il mio vocabolario →,マイ語彙を開く →,내 어휘장 열기 →,Buka kosa kata saya →,Åpne ordforrådet mitt →,Open mijn woordenschat →,Otwórz moje słownictwo →,Abrir o meu vocabulário →,Abrir meu vocabulário →,Deschide-mi vocabularul →,Открыть мой словарь →,Otvoriť moju slovnú zásobu →,Отвори мој речник →,Öppna mitt ordförråd →,เปิดคลังคำศัพท์ของฉัน →,Kelime bilgimi aç →,Відкрити мій словник →,Mở vốn từ của tôi →,打开我的词汇库 →
or,docs/_includes/signin-dialog.html,или,nebo,eller,oder,ή,o,tai,ou,या,ili,vagy,atau,oppure,または,또는,atau,eller,of,lub,ou,ou,sau,или,alebo,или,eller,หรือ,veya,або,hoặc,或
Continue with Google,docs/_includes/signin-dialog.html,Продължете с Google,Pokračovat přes Google,Fortsæt med Google,Mit Google fortfahren,Συνέχεια με Google,Continuar con Google,Jatka Google-tilillä,Continuer avec Google,Google के साथ जारी रखें,Nastavi s Googleom,Folytatás Google-fiókkal,Lanjutkan dengan Google,Continua con Google,Google で続行,Google 계정으로 계속하기,Teruskan dengan Google,Fortsett med Google,Doorgaan met Google,Kontynuuj z Google,Continuar com a Google,Continuar com o Google,Continuă cu Google,Продолжить с Google,Pokračovať cez Google,Настави преко Google-а,Fortsätt med Google,ดำเนินการต่อด้วย Google,Google ile devam et,Увійти через Google,Tiếp tục với Google,使用 Google 账号继续
New here?,docs/_includes/signin-dialog.html,За пръв път тук?,Jste tu poprvé?,Er du ny her?,Neu hier?,Νέος χρήστης;,¿Eres nuevo aquí?,Ensimmäistä kertaa täällä?,Nouveau ici ?,यहाँ नए हैं?,Prvi put ste ovdje?,Most jársz itt először?,Baru di sini?,Nuovo utente?,初めてですか？,처음이신가요?,Baru di sini?,Er du ny her?,Nieuw hier?,Jesteś tu nowy?,É a primeira vez por aqui?,É sua primeira vez aqui?,Ești nou pe aici?,Впервые здесь?,Ste tu prvýkrát?,Први пут сте овде?,Ny här?,เพิ่งเข้ามาใหม่?,Burada yeni misiniz?,Уперше тут?,Bạn là người mới?,第一次来这里？
Create your account →,docs/_includes/signin-dialog.html,Направете си акаунт →,Založit účet →,Opret din konto →,Konto erstellen →,Δημιουργήστε λογαριασμό →,Crea tu cuenta →,Luo tili →,Créer votre compte →,अपना खाता बनाएं →,Otvorite račun →,Fiók létrehozása →,Buat akun Anda →,Crea il tuo account →,アカウントを作成 →,계정 생성하기 →,Buka akaun anda →,Opprett kontoen din →,Maak je account aan →,Utwórz konto →,Criar a sua conta →,Criar sua conta →,Creează-ți contul →,Создать аккаунт →,Založiť účet →,Отворите налог →,Skapa ditt konto →,สมัครบัญชีของคุณ →,Hesabınızı oluşturun →,Створіть акаунт →,Tạo tài khoản ngay →,创建您的账号 →
One account for all your devices.,docs/_includes/signin-dialog.html,Един акаунт за всичките ви устройства.,Jeden účet pro všechna vaše zařízení.,Én konto til alle dine enheder.,Ein Konto für alle Ihre Geräte.,Ένας λογαριασμός για όλες τις συσκευές σας.,Una sola cuenta para todos tus dispositivos.,Yksi tili kaikille laitteillesi.,Un seul compte pour tous vos appareils.,आपके सभी डिवाइसों के लिए एक खाता।,Jedan račun za sve vaše uređaje.,Egyetlen fiók az összes eszközödhöz.,Satu akun untuk semua perangkat Anda.,Un unico account per tutti i tuoi dispositivi.,1 つのアカウントですべてのデバイスに対応。,하나의 계정으로 모든 기기 연결.,Satu akaun untuk semua peranti anda.,Én konto for alle enhetene dine.,Één account voor al je apparaten.,Jedno konto dla wszystkich Twoich urządzeń.,Uma só conta para todos os seus dispositivos.,Uma conta só para todos os seus dispositivos.,Un singur cont pentru toate dispozitivele tale.,Один аккаунт для всех ваших устройств.,Jeden účet pre všetky vaše zariadenia.,Један налог за све ваше уређаје.,Ett konto för alla dina enheter.,บัญชีเดียว ใช้ได้ทุกอุปกรณ์,Tüm cihazlarınız için tek bir hesap.,Один акаунт для всіх пристроїв.,Một tài khoản duy nhất cho tất cả thiết bị.,一个账号，贯通所有设备。
Download from,docs/_includes/store-badges.html,Изтеглете от,Stáhnout z,Hent fra,Herunterladen von,Λήψη από,Descargar de,Lataa palvelusta,Télécharger sur,यहाँ से डाउनलोड करें,Preuzmite s,Letöltés innen:,Unduh dari,Scarica da,ダウンロード元,다운로드 출처,Muat turun daripada,Last ned fra,Downloaden van,Pobierz z,Transferir de,Baixar em,Descarcă de pe,Скачать из,Stiahnuť z,Преузмите са,Ladda ner från,ดาวน์โหลดจาก,Buradan indirin:,Завантажте з,Tải xuống từ,下载途径
Theme: match my system,docs/_includes/theme-toggle.html,Тема: като на системата,Motiv: podle systému,Tema: som systemet,Design: Systemstandard,Θέμα: σύμφωνο με το σύστημα,Tema: igual que el sistema,Teema: järjestelmän mukaan,Thème : identique au système,थीम: मेरे सिस्टम से मिलाएँ,Tema: kao na sustavu,Téma: mint a rendszeré,Tema: sesuaikan sistem,Tema: predefinito di sistema,テーマ: システムに合わせる,테마: 시스템 설정에 맞춤,Tema: ikut sistem,Tema: som systemet,Thema: Systeemstandaard,Motyw: zgodny z systemem,Tema: igual ao sistema,Tema: igual ao sistema,Temă: ca sistemul,Тема: системная,Motív: podľa systému,Тема: као на систему,Tema: anpassa efter systemet,ธีม: ตามระบบ,Tema: sistemle aynı,Тема: як у системі,Giao diện: Theo hệ thống,主题：跟随系统
Theme: light,docs/_includes/theme-toggle.html,Тема: светла,Motiv: světlý,Tema: lyst,Design: Hell,Θέμα: ανοιχτόχρωμο,Tema: claro,Teema: vaalea,Thème : clair,थीم: लाइट,Tema: svijetla,Téma: világos,Tema: terang,Tema: chiaro,テーマ: ライト,테마: 라이트 모드,Tema: cerah,Tema: lyst,Thema: Licht,Motyw: jasny,Tema: claro,Tema: claro,Temă: deschisă,Тема: светлая,Motív: svetlý,Тема: светла,Tema: ljust,ธีม: สว่าง,Tema: açık,Тема: світла,Giao diện: Sáng,主题：浅色
Theme: dark,docs/_includes/theme-toggle.html,Тема: тъмна,Motiv: tmavý,Tema: mørkt,Design: Dunkel,Θέμα: σκουρόχρωμο,Tema: oscuro,Teema: tumma,Thème : sombre,थीم: डार्क,Tema: tamna,Téma: sötét,Tema: gelap,Tema: scuro,テーマ: ダーク,테마: 다크 모드,Tema: gelap,Tema: mørkt,Thema: Donker,Motyw: ciemny,Tema: escuro,Tema: escuro,Temă: întunecată,Тема: темная,Motív: tmavý,Тема: тамна,Tema: mörkt,ธีม: มืด,Tema: koyu,Тема: темна,Giao diện: Tối,主题：深色
Lingueez — build a vocabulary that sticks,docs/index.html,"Lingueez — речников запас, който остава","Lingueez — slovní zásoba, která vydrží","Lingueez — et ordforråd, der bliver hængende","Lingueez — ein Vokabular aufbauen, das hängen bleibt",Lingueez — χτίστε ένα λεξιλόγιο που μένει,Lingueez — construye un vocabulario que se queda contigo,"Lingueez — sanasto, joka jää mieleen",Lingueez — développez un vocabulaire qui reste,Lingueez — ऐसी शब्दावली बनाएं जो याद रहे,Lingueez — vokabular koji ostaje,"Lingueez — szókincs, ami megmarad",Lingueez — bangun kosakata yang melekat,Lingueez — costruisci un vocabolario che resta,Lingueez — 忘れない語彙力を身につける,Lingueez — 기억에 남는 어휘를 만드세요,Lingueez — kosa kata yang melekat,Lingueez — et ordforråd som sitter,Lingueez — bouw een woordenschat op die blijft hangen,"Lingueez — buduj słownictwo, które zostaje",Lingueez — um vocabulário que fica,Lingueez — um vocabulário que fica,Lingueez — un vocabular care rămâne,"Lingueez — словарный запас, который остаётся с вами","Lingueez — slovná zásoba, ktorá vydrží",Lingueez — речник који остаје,Lingueez — bygg ett ordförråd som stannar kvar,Lingueez — คลังคำศัพท์ที่อยู่กับคุณ,Lingueez — akılda kalan bir kelime bilgisi oluşturun,"Lingueez — словниковий запас, який залишається з вами",Lingueez — xây dựng vốn từ vựng ghi nhớ lâu dài,Lingueez — 打造牢记不忘的词汇库
"A free, open-source desktop app for building, studying and remembering vocabulary across languages. Add words that translate automatically and watch each one climb from New to Mastered.",docs/index.html,"Безплатно настолно приложение с отворен код за трупане, учене и запомняне на думи на различни езици. Добавяйте думи, които се превеждат сами, и гледайте как всяка се изкачва от „Ново“ до „Овладени“.","Bezplatná aplikace pro počítač s otevřeným kódem na budování, procvičování a zapamatování slovíček v různých jazycích. Přidávejte slova, která se přeloží sama, a sledujte, jak každé stoupá od „Nové“ až po „Zvládnuto“.","En gratis desktopapp med åben kildekode til at bygge, træne og huske ordforråd på tværs af sprog. Tilføj ord, der oversætter sig selv, og se hvert enkelt bevæge sig fra „Ny“ til „Mestret“.","Eine kostenlose Open-Source-Desktop-App zum Aufbauen, Lernen und Behalten von Vokabeln in mehreren Sprachen. Fügen Sie Wörter hinzu, die automatisch übersetzt werden, und verfolgen Sie jedes von „Neu“ bis „Gemeistert“.","Μια δωρεάν εφαρμογή ανοιχτού κώδικα για υπολογιστή, για να χτίζετε, να μελετάτε και να θυμάστε λεξιλόγιο σε πολλές γλώσσες. Προσθέστε λέξεις που μεταφράζονται αυτόματα και δείτε την καθεμία να ανεβαίνει από «Νέες» σε «Κατακτημένες».","Una aplicación de escritorio gratuita y de código abierto para construir, estudiar y recordar vocabulario en varios idiomas. Añade palabras que se traducen automáticamente y observa cómo cada una avanza de «Nuevo» a «Dominado».","Ilmainen, avoimen lähdekoodin työpöytäsovellus sanaston kartuttamiseen, opiskeluun ja muistamiseen useilla kielillä. Lisää sanoja, jotka kääntyvät itsestään, ja katso kuinka kukin nousee tilasta ”Uusi” tilaan ”Hallitut”.","Une application de bureau gratuite et open source pour développer, réviser et retenir du vocabulaire dans plusieurs langues. Ajoutez des mots traduits automatiquement et suivez chacun d’eux de « Nouveau » à « Maîtrisé ».","कई भाषाओं में शब्दावली बनाने, पढ़ने और याद रखने के लिए एक मुफ़्त, ओपन-सोर्स डेस्कटॉप ऐप। ऐसे शब्द जोड़ें जो अपने आप अनुवादित हो जाएँ, और हर शब्द को “नया” से “महारत हासिल की” तक बढ़ते हुए देखें।","Besplatna aplikacija za računalo otvorenog koda za gradnju, učenje i pamćenje riječi na više jezika. Dodajte riječi koje se prevode same i gledajte kako svaka napreduje od „Novo“ do „Svladano“.","Ingyenes, nyílt forráskódú asztali alkalmazás szókincs építéséhez, tanulásához és megjegyzéséhez több nyelven. Vegyél fel szavakat, amelyek maguktól lefordulnak, és nézd, ahogy mindegyik feljut az „Új” állapotból az „Elsajátítva” szintig.","Aplikasi desktop gratis dan sumber terbuka untuk membangun, mempelajari, dan mengingat kosakata dalam berbagai bahasa. Tambahkan kata yang diterjemahkan secara otomatis dan lihat setiap kata naik dari “Baru” ke “Dikuasai”.","Un’app desktop gratuita e open source per costruire, studiare e ricordare vocaboli in più lingue. Aggiungi parole che si traducono automaticamente e guarda ognuna salire da «Nuovo» a «Padroneggiato».",複数の言語の語彙を、つくり、学び、覚えるための無料のオープンソースデスクトップアプリ。追加した単語は自動で翻訳され、「新規」から「習得済み」へと着実に進んでいきます。,"여러 언어의 어휘를 만들고 학습하고 기억하기 위한 무료 오픈 소스 데스크톱 앱입니다. 단어를 추가하면 자동으로 번역되고, 각 단어가 ‘신규’에서 ‘마스터함’까지 올라가는 과정을 지켜볼 수 있습니다.","Aplikasi desktop percuma bersumber terbuka untuk membina, mempelajari dan mengingati kosa kata merentas pelbagai bahasa. Tambah perkataan yang diterjemah dengan sendirinya dan perhatikan setiap satu mendaki daripada „Baharu“ hingga „Dikuasai“.","En gratis skrivebordsapp med åpen kildekode for å bygge, øve på og huske ordforråd på tvers av språk. Legg til ord som oversetter seg selv, og se hvert enkelt bevege seg fra «Ny» til «Mestret».","Een gratis, opensource desktop-app om woordenschat in meerdere talen op te bouwen, te oefenen en te onthouden. Voeg woorden toe die automatisch worden vertaald en zie elk woord opklimmen van ‘Nieuw’ naar ‘Beheerst’.","Bezpłatna aplikacja komputerowa o otwartym kodzie do budowania, nauki i zapamiętywania słownictwa w wielu językach. Dodawaj słowa, które tłumaczą się automatycznie, i obserwuj, jak każde awansuje z „Nowe“ do „Opanowane“.","Uma aplicação gratuita e de código aberto para computador, feita para construir, estudar e memorizar vocabulário em várias línguas. Acrescente palavras que se traduzem sozinhas e veja cada uma subir de «Novo» a «Dominado».","Um aplicativo de desktop grátis e de código aberto para construir, estudar e memorizar vocabulário em vários idiomas. Adicione palavras que se traduzem sozinhas e veja cada uma subir de “Novo” até “Dominadas”.","O aplicație de desktop gratuită, cu sursă deschisă, pentru a-ți construi, exersa și ține minte vocabularul în mai multe limbi. Adaugă cuvinte care se traduc singure și urmărește-le cum urcă de la „Nou” la „Stăpânite”.","Бесплатное приложение с открытым исходным кодом для компьютера: пополняйте, изучайте и запоминайте слова на разных языках. Добавляйте слова, которые переводятся автоматически, и следите, как каждое поднимается от «Новое» до «Освоено».","Bezplatná aplikácia pre počítač s otvoreným kódom na budovanie, precvičovanie a zapamätanie slovíčok v rôznych jazykoch. Pridávajte slová, ktoré sa preložia samy, a sledujte, ako každé stúpa od „Nové“ až po „Zvládnuté“.","Бесплатна апликација за рачунар отвореног кода за градњу, учење и памћење речи на више језика. Додајте речи које се преводе саме и гледајте како свака напредује од „Ново“ до „Савладано“.","En gratis skrivbordsapp med öppen källkod för att bygga, plugga och minnas ordförråd på flera språk. Lägg till ord som översätts automatiskt och se hur varje ord klättrar från ”Nya” till ”Bemästrade”.",แอปเดสก์ท็อปฟรีและโอเพนซอร์สสำหรับสร้าง ฝึก และจดจำคำศัพท์ข้ามภาษา เพิ่มคำที่แปลให้เองอัตโนมัติ แล้วดูแต่ละคำไต่ระดับจาก „ใหม่“ ไปจนถึง „เชี่ยวชาญแล้ว“,"Birden fazla dilde kelime bilgisi oluşturmak, çalışmak ve akılda tutmak için ücretsiz, açık kaynaklı bir masaüstü uygulaması. Otomatik çevrilen kelimeler ekleyin ve her birinin “Yeni”den “Öğrenildi”ye yükselişini izleyin.","Безкоштовний застосунок із відкритим кодом для комп’ютера: поповнюйте, вивчайте та запам’ятовуйте слова різними мовами. Додавайте слова, які перекладаються автоматично, і стежте, як кожне піднімається від «Нове» до «Засвоєно».","Ứng dụng máy tính miễn phí, mã nguồn mở để xây dựng, học và ghi nhớ từ vựng ở nhiều ngôn ngữ. Thêm những từ được dịch tự động và theo dõi từng từ đi lên từ “Mới” đến “Đã thành thạo”.",一款免费开源的桌面应用，帮你建立、学习并牢记多语种词汇。添加的单词会自动翻译，你可以看着每个词从“生词”一路升到“已精通”。
"Download Lingueez — Windows, Linux, Android, browser and e-reader",docs/download.html,"Изтеглете Lingueez — Windows, Linux, Android, браузър и електронен четец","Stáhnout Lingueez — Windows, Linux, Android, prohlížeč a čtečka","Hent Lingueez — Windows, Linux, Android, browser og e-bogslæser","Lingueez herunterladen — Windows, Linux, Android, Browser und E-Reader","Λήψη του Lingueez — Windows, Linux, Android, browser και e-reader","Descargar Lingueez — Windows, Linux, Android, navegador y e-reader","Lataa Lingueez — Windows, Linux, Android, selain ja lukulaite","Télécharger Lingueez — Windows, Linux, Android, navigateur et liseuse","Lingueez डाउनलोड करें — Windows, Linux, एंड्रॉइड, ब्राउज़र और ई-रीडर","Preuzmite Lingueez — Windows, Linux, Android, preglednik i e-čitač","Lingueez letöltése — Windows, Linux, Android, böngésző és e-könyv-olvasó","Unduh Lingueez — Windows, Linux, Android, browser, dan e-reader","Scarica Lingueez — Windows, Linux, Android, browser ed e-reader",Lingueez をダウンロード — Windows、Linux、Android、ブラウザ、電子書籍リーダー,"Lingueez 다운로드 — Windows, Linux, Android, 브라우저, 전자책 리더","Muat turun Lingueez — Windows, Linux, Android, pelayar dan pembaca e-buku","Last ned Lingueez — Windows, Linux, Android, nettleser og e-bokleser","Lingueez downloaden — Windows, Linux, Android, browser en e-reader","Pobierz Lingueez — Windows, Linux, Android, przeglądarka i e-czytnik","Transferir o Lingueez — Windows, Linux, Android, navegador e leitor de livros digitais","Baixar o Lingueez — Windows, Linux, Android, navegador e leitor de e-books","Descarcă Lingueez — Windows, Linux, Android, browser și e-reader","Скачать Lingueez — Windows, Linux, Android, браузер и электронная книга","Stiahnuť Lingueez — Windows, Linux, Android, prehliadač a čítačka","Преузмите Lingueez — Windows, Linux, Android, прегледач и е-читач","Ladda ner Lingueez — Windows, Linux, Android, webbläsare och e-läsare","ดาวน์โหลด Lingueez — Windows, Linux, Android, เบราว์เซอร์ และเครื่องอ่านอีบุ๊ก","Lingueez’i indirin — Windows, Linux, Android, tarayıcı ve e-okuyucu","Завантажити Lingueez — Windows, Linux, Android, браузер і е-читач","Tải Lingueez — Windows, Linux, Android, trình duyệt và máy đọc sách",下载 Lingueez — Windows、Linux、Android、浏览器和电子书阅读器
"Get Lingueez free from the Microsoft Store, Google Play, or as a Windows installer, Linux AppImage or Flatpak. Or read and save words on your KOReader e-reader.",docs/download.html,"Вземете Lingueez безплатно от Microsoft Store, Google Play или като инсталатор за Windows, AppImage за Linux или Flatpak. Или четете и запазвайте думи на електронния си четец с KOReader.","Získejte Lingueez zdarma z Microsoft Storu, Google Play, nebo jako instalátor pro Windows, AppImage pro Linux či Flatpak. Anebo čtěte a ukládejte slova ve čtečce s KOReaderem.","Hent Lingueez gratis i Microsoft Store, på Google Play eller som Windows-installationsprogram, Linux-AppImage eller Flatpak. Eller læs og gem ord på din e-bogslæser med KOReader.","Holen Sie sich Lingueez kostenlos im Microsoft Store, bei Google Play oder als Windows-Installer, Linux-AppImage oder Flatpak. Oder lesen und speichern Sie Wörter direkt auf Ihrem KOReader-E-Reader.","Αποκτήστε το Lingueez δωρεάν από το Microsoft Store, το Google Play ή ως πρόγραμμα εγκατάστασης για Windows, AppImage για Linux ή Flatpak. Ή διαβάστε και αποθηκεύστε λέξεις στον e-reader σας με KOReader.","Consigue Lingueez gratis en Microsoft Store, Google Play, o como instalador de Windows, AppImage de Linux o Flatpak. O lee y guarda palabras en tu e-reader con KOReader.","Hanki Lingueez ilmaiseksi Microsoft Storesta, Google Playstä tai Windows-asennusohjelmana, Linux-AppImagena tai Flatpakina. Tai lue ja tallenna sanoja KOReader-lukulaitteellasi.","Obtenez Lingueez gratuitement sur le Microsoft Store, Google Play, ou sous forme d’installeur Windows, d’AppImage Linux ou de Flatpak. Ou lisez et enregistrez des mots sur votre liseuse KOReader.","Lingueez को Microsoft Store, Google Play से या Windows इंस्टॉलर, Linux AppImage या Flatpak के रूप में मुफ़्त पाएँ। या अपने KOReader ई-रीडर पर पढ़ें और शब्द सहेजें।","Nabavite Lingueez besplatno u Microsoft Storeu, na Google Playu ili kao instalacijski program za Windows, AppImage za Linux ili Flatpak. Ili čitajte i spremajte riječi na e-čitaču s KOReaderom.","Szerezd be a Lingueezt ingyen a Microsoft Store-ból, a Google Playről, vagy Windows-telepítőként, Linux AppImage-ként, illetve Flatpakként. Vagy olvass és ments szavakat a KOReaderes e-könyv-olvasódon.","Dapatkan Lingueez gratis di Microsoft Store, Google Play, atau sebagai penginstal Windows, AppImage Linux, maupun Flatpak. Atau baca dan simpan kata langsung di e-reader KOReader Anda.","Scarica Lingueez gratis da Microsoft Store, Google Play, oppure come installer per Windows, AppImage per Linux o Flatpak. O leggi e salva parole sul tuo e-reader con KOReader.",Lingueez は Microsoft Store、Google Play のほか、Windows インストーラー、Linux の AppImage、Flatpak として無料で入手できます。KOReader 搭載の電子書籍リーダーで読みながら単語を保存することもできます。,"Microsoft Store, Google Play에서, 또는 Windows 설치 프로그램, Linux AppImage, Flatpak으로 Lingueez를 무료로 받으세요. KOReader 전자책 리더에서 읽으면서 단어를 저장할 수도 있습니다.","Dapatkan Lingueez secara percuma daripada Microsoft Store, Google Play, atau sebagai pemasang Windows, AppImage Linux mahupun Flatpak. Atau baca dan simpan perkataan pada pembaca e-buku KOReader anda.","Få Lingueez gratis i Microsoft Store, på Google Play eller som Windows-installasjonsprogram, Linux-AppImage eller Flatpak. Eller les og lagre ord på e-bokleseren din med KOReader.","Haal Lingueez gratis in de Microsoft Store, op Google Play, of als Windows-installer, Linux-AppImage of Flatpak. Of lees en bewaar woorden op je KOReader-e-reader.","Pobierz Lingueez za darmo z Microsoft Store, Google Play albo jako instalator Windows, AppImage dla Linuksa lub Flatpak. Możesz też czytać i zapisywać słowa na e-czytniku z KOReaderem.","Obtenha o Lingueez gratuitamente na Microsoft Store, no Google Play, ou como instalador para Windows, AppImage para Linux ou Flatpak. Ou leia e guarde palavras no seu leitor com KOReader.","Baixe o Lingueez de graça na Microsoft Store, no Google Play, ou como instalador para Windows, AppImage para Linux ou Flatpak. Ou leia e salve palavras no seu leitor de e-books com KOReader.","Ia Lingueez gratuit din Microsoft Store, Google Play sau ca program de instalare pentru Windows, AppImage pentru Linux ori Flatpak. Sau citește și salvează cuvinte pe e-readerul tău cu KOReader.","Получите Lingueez бесплатно в Microsoft Store, Google Play или в виде установщика для Windows, AppImage для Linux либо Flatpak. Или читайте и сохраняйте слова прямо на электронной книге с KOReader.","Získajte Lingueez zadarmo z Microsoft Storu, Google Play, alebo ako inštalátor pre Windows, AppImage pre Linux či Flatpak. Alebo čítajte a ukladajte slová v čítačke s KOReaderom.","Набавите Lingueez бесплатно у Microsoft Store-у, на Google Play-у или као инсталациони програм за Windows, AppImage за Linux или Flatpak. Или читајте и чувајте речи на е-читачу са KOReader-ом.","Hämta Lingueez gratis från Microsoft Store, Google Play, eller som Windows-installerare, Linux-AppImage eller Flatpak. Eller läs och spara ord direkt på din e-läsare med KOReader.","รับ Lingueez ฟรีจาก Microsoft Store, Google Play หรือในรูปตัวติดตั้ง Windows, AppImage สำหรับ Linux และ Flatpak หรือจะอ่านและบันทึกคำบนเครื่องอ่านอีบุ๊กที่ใช้ KOReader ก็ได้","Lingueez’i Microsoft Store’dan, Google Play’den ya da Windows yükleyicisi, Linux AppImage veya Flatpak olarak ücretsiz edinin. Veya KOReader’lı e-okuyucunuzda okuyup kelime kaydedin.","Отримайте Lingueez безкоштовно в Microsoft Store, Google Play або як інсталятор для Windows, AppImage для Linux чи Flatpak. Або читайте й зберігайте слова просто на е-читачі з KOReader.","Tải Lingueez miễn phí từ Microsoft Store, Google Play, hoặc dưới dạng trình cài đặt Windows, AppImage cho Linux hay Flatpak. Hoặc đọc và lưu từ ngay trên máy đọc sách chạy KOReader.",可从 Microsoft Store、Google Play 免费获取 Lingueez，也可下载 Windows 安装程序、Linux AppImage 或 Flatpak。还能在装有 KOReader 的电子书阅读器上边读边存词。
Lingueez for Android — your vocabulary in your pocket,docs/mobile.html,Lingueez за Android — речникът ви в джоба,Lingueez pro Android — slovní zásoba v kapse,Lingueez til Android — dit ordforråd i lommen,Lingueez für Android — Ihr Vokabular in der Hosentasche,Lingueez για Android — το λεξιλόγιό σας στην τσέπη σας,Lingueez para Android — tu vocabulario en el bolsillo,Lingueez Androidille — sanastosi taskussa,Lingueez pour Android — votre vocabulaire dans votre poche,Android के लिए Lingueez — आपकी शब्दावली आपकी जेब में,Lingueez za Android — vaš vokabular u džepu,Lingueez Androidra — a szókincsed a zsebedben,Lingueez untuk Android — kosakata Anda dalam saku,Lingueez per Android — il tuo vocabolario in tasca,Android 版 Lingueez — 語彙をポケットに,Android용 Lingueez — 주머니 속 나의 어휘,Lingueez untuk Android — kosa kata anda dalam poket,Lingueez for Android — ordforrådet ditt i lomma,Lingueez voor Android — je woordenschat op zak,Lingueez na Androida — Twoje słownictwo w kieszeni,Lingueez para Android — o seu vocabulário no bolso,Lingueez para Android — seu vocabulário no bolso,Lingueez pentru Android — vocabularul tău în buzunar,Lingueez для Android — ваш словарный запас в кармане,Lingueez pre Android — slovná zásoba vo vrecku,Lingueez за Android — ваш речник у џепу,Lingueez för Android — ditt ordförråd i fickan,Lingueez สำหรับ Android — คลังคำศัพท์ในกระเป๋าคุณ,Android için Lingueez — kelimeleriniz cebinizde,Lingueez для Android — ваш словниковий запас у кишені,Lingueez cho Android — vốn từ vựng trong túi bạn,Android 版 Lingueez — 把词汇装进口袋
